place1,place2,cooccurrence_count,place1_count,place2_count,jaccard_similarity,prob_place2_given_place1,prob_place1_given_place2
ENTERTAINMENT_RECREATION,CULTURE,30,82,33,0.35294117647058826,0.36585365853658536,0.9090909090909091
HEALTH_WELLNESS,CULTURE,30,79,33,0.36585365853658536,0.379746835443038,0.9090909090909091
PLACE_OF_WORSHIP,FACILITIES,30,74,32,0.39473684210526316,0.40540540540540543,0.9375
PLACE_OF_WORSHIP,CULTURE,30,74,33,0.38961038961038963,0.40540540540540543,0.9090909090909091
FINANCE,FACILITIES,30,68,32,0.42857142857142855,0.4411764705882353,0.9375
EDUCATION,CULTURE,29,69,33,0.3972602739726027,0.42028985507246375,0.8787878787878788
FINANCE,CULTURE,29,68,33,0.4027777777777778,0.4264705882352941,0.8787878787878788
GOVERNMENT,CULTURE,28,66,33,0.39436619718309857,0.42424242424242425,0.8484848484848485
GOVERNMENT,FACILITIES,27,66,32,0.38028169014084506,0.4090909090909091,0.84375
LODGING,BUSINESS,25,39,43,0.43859649122807015,0.6410256410256411,0.5813953488372093
BUSINESS,CULTURE,23,43,33,0.4339622641509434,0.5348837209302325,0.696969696969697
LODGING,CULTURE,21,39,33,0.4117647058823529,0.5384615384615384,0.6363636363636364
BUSINESS,FACILITIES,20,43,32,0.36363636363636365,0.46511627906976744,0.625
FACILITIES,CULTURE,18,32,33,0.3829787234042553,0.5625,0.5454545454545454
LODGING,FACILITIES,15,39,32,0.26785714285714285,0.38461538461538464,0.46875
