predictor,coefficient,std_error,z_value,p_value
(Intercept),-8.13099337275358,0.5982186947215891,-13.592008147685426,4.4665498166678516e-42
category_AUTOMOTIVE,0.8318835681556793,0.23465908731536758,3.5450728871099644,0.0003925045336246162
category_BUSINESS,-8.215978158282244,1461.1229657064805,-0.005623057299841744,0.9955134730390388
category_CULTURE,0.5871264165090347,0.5347866327402754,1.097870403941414,0.2722610831130077
category_EDUCATION,0.45463711647039995,0.3793348647306865,1.1985112857822209,0.23071803206161112
category_ENTERTAINMENT_RECREATION,0.5419320188698052,0.37526323844428494,1.4441383097275207,0.14870007370247548
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-12.83077020746299,255.1074205052226,-0.0502955585613799,0.9598868630468954
category_FOOD_DRINK,-0.6437252495285533,0.8742150578443275,-0.7363465588385943,0.4615198185359442
category_GOVERNMENT,0.5225895412633859,0.18207016365526427,2.8702645769730215,0.004101284726559818
category_HEALTH_WELLNESS,-0.3172856566174318,0.47659184839908864,-0.6657387399369513,0.5055781071060841
category_LODGING,1.2638806807609622,1.175481040012386,1.075202949039182,0.2822838754074267
category_PLACE_OF_WORSHIP,0.7923819952571666,0.39142573497187466,2.0243482338076264,0.04293433404088537
category_SERVICES,0.16592256938725722,0.20648433508157543,0.8035600827622418,0.42165108420576963
category_SHOPPING,0.22655953275577098,0.2545469366013063,0.8900501250605438,0.37343897178266233
category_SPORTS,-0.022173760567978887,0.5892352252201564,-0.03763142395245309,0.9699815529686928
category_TRANSPORTATION,-10.77720199619498,213.36089005718696,-0.05051160966429403,0.9597146980412596
