predictor,coefficient,std_error,z_value,p_value
(Intercept),-5.905369624968614,0.19831149451631783,-29.77825183241054,7.472710630331031e-195
category_AUTOMOTIVE,0.37543174895691866,0.13391210592991057,2.803568402944982,0.00505405101670844
category_BUSINESS,1.586622569553261,1.3700425739708713,1.1580826754563283,0.24683029919833244
category_CULTURE,-0.00964833464114885,0.3905827177859461,-0.024702410531221963,0.9802923323425495
category_EDUCATION,0.24901340213039136,0.17693088783692634,1.4074049205015127,0.15930735297580859
category_ENTERTAINMENT_RECREATION,0.6610103103592924,0.1554017131152318,4.2535587099297105,2.103997418439974e-5
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,0.4430800738335931,0.339039010738,1.3068704774389315,0.191256704191466
category_FOOD_DRINK,-0.20676250289412484,0.1589525198530568,-1.300781535802426,0.19333324384532127
category_GOVERNMENT,0.464725365074657,0.1360562909044843,3.4156845081195732,0.0006362191161350224
category_HEALTH_WELLNESS,0.05231363436108901,0.06149953996647508,0.8506345639269247,0.3949723830360833
category_LODGING,-0.5192195970358888,0.666507798881656,-0.7790150361437564,0.43597085747530906
category_PLACE_OF_WORSHIP,0.7452111512117864,0.2581701376263447,2.886511809860623,0.0038953812772313454
category_SERVICES,0.17868144924918047,0.059183049549421954,3.019132177363876,0.00253499906772076
category_SHOPPING,0.19643737144408763,0.06816506841137082,2.8817893977396687,0.003954239296199016
category_SPORTS,0.05035270204770704,0.2173202704857635,0.23169813812193654,0.8167724776016422
category_TRANSPORTATION,-0.15472049877343005,0.3716637737326949,-0.41629157778693526,0.6771966547525063
