predictor,coefficient,std_error,z_value,p_value
(Intercept),-130.56208161797107,12102.853213463985,-0.010787710907104574,0.9913928189641683
category_AUTOMOTIVE,13.139157241016832,1671.157100238468,0.007862311232823008,0.9937268478853004
category_BUSINESS,-6.085506617328124,58243.611313033485,-0.00010448367606571019,0.9999166340881629
category_CULTURE,12.054446012249677,12531.610176962786,0.0009619231560848985,0.9992324964834425
category_EDUCATION,-48.069161274062495,12159.426517678683,-0.0039532424661783494,0.9968457770868937
category_ENTERTAINMENT_RECREATION,-24.132879645947895,16218.279797265777,-0.0014880048900140711,0.9988127443099873
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,36.2525727032948,4225.8469762570585,0.008578770813751671,0.9931552151744862
category_FOOD_DRINK,15.351279900556241,1714.375964173021,0.008954441861859267,0.9928554845649006
category_GOVERNMENT,8.519435380413942,1318.9364797586572,0.006459321969753125,0.9948462425653373
category_HEALTH_WELLNESS,-84.34187667354182,10083.527029276818,-0.008364322962457586,0.9933263136640714
category_LODGING,-16.4694939996142,14454.619994620083,-0.0011393930802569726,0.9990908960492797
category_PLACE_OF_WORSHIP,-39.88230351773049,54758.23619484113,-0.0007283343345067034,0.999418873330773
category_SERVICES,5.12141632474118,824.4504963039462,0.006211914902957486,0.9950436408818336
category_SHOPPING,-72.61844107145586,12872.60606014969,-0.005641316197523053,0.9954989047775473
category_SPORTS,4.58123398803276,3075.095158976736,0.0014897860882969241,0.998811323120953
category_TRANSPORTATION,-0.5213161541468784,15513.015674269289,-3.360508137766927e-5,0.9999731870244093
