predictor,coefficient,std_error,z_value,p_value
(Intercept),-39.029109702032116,3159.453387167163,-0.01235312091026812,0.9901438862217674
category_AUTOMOTIVE,3.4698003170732035,908.3688313908294,0.0038198143718345037,0.9969522364992258
category_BUSINESS,20.379836088984536,5885.7526617262065,0.003462570933622519,0.9972372736319497
category_CULTURE,4.44946510713083,3041.3034636131165,0.0014630125406311133,0.9988326852979906
category_EDUCATION,-4.768999808478835,5871.259335652285,-0.0008122618225224434,0.9993519089037448
category_ENTERTAINMENT_RECREATION,0.016986812954720744,3405.1600646676707,4.9885505033897975e-6,0.9999960197125726
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,0.35025846784188347,5389.048262072461,6.499449453940962e-5,0.9999481418963063
category_FOOD_DRINK,-3.5282947258326174,3510.1236982961836,-0.0010051767484847483,0.9991979851265627
category_GOVERNMENT,1.623175184113425,393.12247121928135,0.004128930048386951,0.9967055998222835
category_HEALTH_WELLNESS,-0.04492389723712891,1649.1045890166622,-2.7241387560455698e-5,0.9999782645174533
category_LODGING,-1.7881885804438222,15239.781582200285,-0.00011733689034837516,0.9999063787069933
category_PLACE_OF_WORSHIP,2.4575772758161087,7434.957178086799,0.00033054356830182914,0.9997362643949819
category_SERVICES,-3.3425377876324256,5615.998629130127,-0.0005951813752757554,0.9995251139978274
category_SHOPPING,1.6878948001513776,493.84253654780423,0.0034178805494370136,0.9972729311884977
category_SPORTS,0.46787084053246353,1994.335976303561,0.00023459980970691178,0.9998128164355846
category_TRANSPORTATION,-13.882851387573862,9200.931590935874,-0.0015088527993459156,0.9987961101036811
