predictor,coefficient,std_error,z_value,p_value
(Intercept),-4.55346816518642,0.10228064332317098,-44.51935397784952,0.0
category_AUTOMOTIVE,0.40881349371272807,0.08427861765271748,4.850738005662416,1.2300293492455465e-6
category_BUSINESS,0.3481192584752812,1.125867560624411,0.3092008959581469,0.7571687123993252
category_CULTURE,-0.042202117238653594,0.23142157603918337,-0.18236033977881172,0.8552999481515307
category_EDUCATION,0.29543887526209645,0.10186903289383761,2.900183371427378,0.003729444132392478
category_FINANCE,0.5339557983551038,0.17468574701436212,3.0566649396484737,0.0022381430504475304
category_FOODBEV,0.048295330613504966,0.04637547107481118,1.041398167915033,0.29769079248267794
category_GOVERNMENT,-0.4071946280163551,0.6884673678836231,-0.59145087626751,0.554218360304151
category_HEALTH,0.03030958109405108,0.03776166885943302,0.8026547027589757,0.42217434115480157
category_LODGING,0.34265281773409595,0.31846374462356963,1.075955500489132,0.2819471584518551
category_RECREATION,0.3555163278342845,0.11834497574965441,3.0040677737459647,0.0026639597548803367
category_SERVICES,0.15250003300299783,0.03767901088098129,4.047347035852609,5.1801412045127335e-5
category_SHOPPING,0.1311281909288427,0.04331062039114731,3.0276220877142017,0.002464861247039254
category_TRANSPORTATION,0.32723436328671196,0.14021700646157825,2.3337708566498283,0.019607723590601825
