predictor,coefficient,std_error,z_value,p_value
(Intercept),-9.936199230335578,1.5066689264249349,-6.59481260684951,4.2579333302358036e-11
category_AUTOMOTIVE,-16.37121006155535,716.0279257409676,-0.02286392677298713,0.981758815133393
category_BUSINESS,-8.160842772199343,5159.118766294623,-0.0015818288242394187,0.9987378837296473
category_CULTURE,-12.896479486432172,1553.6533552321896,-0.008300744463365076,0.9933770402058569
category_EDUCATION,-11.941937112448882,1114.6925770405628,-0.010713211300064416,0.9914522576155643
category_ENTERTAINMENT_RECREATION,2.3073251193741218,0.7969187770476387,2.895307760123455,0.0037878696104688366
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-11.740303387191464,1120.8507111601266,-0.010474457722420292,0.9916427447191307
category_FOOD_DRINK,-0.8608669324448402,2.5616072837235158,-0.33606514859432174,0.736821738900511
category_GOVERNMENT,-10.334198105088447,2305.0955067630443,-0.004483197366342689,0.9964229380209635
category_HEALTH_WELLNESS,-14.340209632387408,416.3152906535076,-0.034445551134758896,0.9725218604523942
category_LODGING,-14.409411453852607,2461.5990892783575,-0.005853679226895096,0.9953294663940585
category_PLACE_OF_WORSHIP,-11.270494540473477,1944.0387455664593,-0.005797463947761725,0.9953743189362612
category_SERVICES,0.29473749785246744,0.5621165543490869,0.5243352033881373,0.6000454159140085
category_SHOPPING,0.5249360638852819,0.3633878872498202,1.4445612589293637,0.14858116124304807
category_SPORTS,-14.739177565085933,946.1904845717141,-0.015577389336944674,0.9875715441904147
category_TRANSPORTATION,0.6176676410881784,1.8227792161428638,0.3388603708106838,0.7347149195145688
