predictor,coefficient,std_error,z_value,p_value
(Intercept),-6.785989171171789,0.320229477211171,-21.191019734566346,1.155672065858677e-99
category_AUTOMOTIVE,0.706831429005529,0.1982550236205194,3.5652636493008996,0.00036349060261083586
category_BUSINESS,-12.123207760947185,1054.2123998200786,-0.011499777239402839,0.9908247075193576
category_CULTURE,0.5975870313026199,0.3873304785960945,1.5428350319050919,0.12287080729330427
category_EDUCATION,0.38111150924248616,0.32891787984957344,1.1586828585201352,0.24658548047055168
category_ENTERTAINMENT_RECREATION,-1.1099898824952918,0.9398775252367073,-1.1809941749758746,0.2376050373436333
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-12.354562895584978,134.71020149325741,-0.0917121551199176,0.9269267397067065
category_FOOD_DRINK,0.5012432656538189,0.14846683700939595,3.376129482856141,0.0007351331346241092
category_GOVERNMENT,-11.499420331980597,216.0261063116478,-0.05323162338255118,0.9575473595102797
category_HEALTH_WELLNESS,-1.2198552164093572,0.9256631293270475,-1.317817657160209,0.18756469560749295
category_LODGING,0.7427331761443399,0.721067599005366,1.030046527078542,0.3029881650085756
category_PLACE_OF_WORSHIP,-11.019637995532536,212.9816396589771,-0.05173984956251163,0.9587359843877137
category_SERVICES,0.15157952205962402,0.1641223015482219,0.923576629316811,0.3557067863945744
category_SHOPPING,-0.0722875950689792,0.22100149468961927,-0.3270909781424869,0.7435990752497913
category_SPORTS,0.1251254964081402,0.22830192866240634,0.5480702556532724,0.5836436633352944
category_TRANSPORTATION,0.5315939441527443,0.4197412056489446,1.2664802430604085,0.20534119840013343
