predictor,coefficient,std_error,z_value,p_value
(Intercept),-6.127496252705686,0.22583462557950332,-27.132669478748948,4.055300923315425e-162
category_AUTOMOTIVE,-0.6400429874295539,0.44055520634731105,-1.4528099502811844,0.14627652849487507
category_BUSINESS,3.31296441575266,1.2743725174951406,2.59968287943348,0.009330994477607542
category_CULTURE,-1.419508013476009,1.0629374554904463,-1.3354577036906077,0.18172658965398036
category_EDUCATION,-0.5768452770864776,0.6285462423986294,-0.9177451684145737,0.35875229445706314
category_ENTERTAINMENT_RECREATION,0.6049295475162949,0.21305425177886048,2.8393216397492087,0.00452095614241102
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,0.6916806848405914,0.34301519363463623,2.016472441093491,0.04375059717218257
category_FOOD_DRINK,0.025333056824596738,0.08723794672008882,0.29039033788679414,0.7715176346524124
category_GOVERNMENT,0.3554777765221528,0.19101607938913445,1.8609835237900574,0.06274650346363185
category_HEALTH_WELLNESS,-0.017963461803203462,0.11488320626601309,-0.15636281739568536,0.8757470440487597
category_LODGING,0.09281501274450615,0.6768305042340362,0.1371318404886969,0.890926585133147
category_PLACE_OF_WORSHIP,0.8452450278162481,0.3475914829888097,2.431719616799298,0.01502733506862862
category_SERVICES,0.12054343136176748,0.0778968464710377,1.54747511385568,0.12174872088116281
category_SHOPPING,0.27027737259023765,0.07540750126230536,3.5842239573762895,0.00033808190691514764
category_SPORTS,-0.05234987194927434,0.42400114459389604,-0.12346634582652957,0.9017378224933609
category_TRANSPORTATION,0.6617668912549656,0.2815865570733742,2.350136661824116,0.01876651944053027
