predictor,coefficient,std_error,z_value,p_value
(Intercept),-4.56879394693882,0.10316616589503456,-44.285778261715144,0.0
category_AUTOMOTIVE,0.39074489614424024,0.08271987068798416,4.7237126085232095,2.315776151620676e-6
category_BUSINESS,0.16395917681909944,1.1595192600878064,0.14140271961216355,0.8875518059188513
category_CULTURE,-0.1198468887836704,0.24338843506872754,-0.49240995674189814,0.6224295619754294
category_EDUCATION,0.30760352638208305,0.1007116573016486,3.054299121111253,0.0022558703308370974
category_ENTERTAINMENT_RECREATION,0.3657738245221434,0.1208886683825344,3.0257081115717646,0.002480516354005185
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,0.5419624280966509,0.1744915569493076,3.1059521593592008,0.0018966739873927606
category_FOOD_DRINK,0.038360070630741705,0.04724087970978017,0.8120100825048799,0.4167858461118739
category_GOVERNMENT,0.24670333974125866,0.15360031788043957,1.6061382108160038,0.10824354589112914
category_HEALTH_WELLNESS,0.029705199298441204,0.03776558138715922,0.7865680391336792,0.4315347749964554
category_LODGING,0.14465258446865628,0.316460446638579,0.45709530529058545,0.6476025445476393
category_PLACE_OF_WORSHIP,0.38803181056261943,0.21977782114853814,1.765564007026741,0.07746902298341336
category_SERVICES,0.14825674897884922,0.03790122663051209,3.9116609714023416,9.166352895216106e-5
category_SHOPPING,0.16404533976405014,0.04905931085796919,3.343816635316691,0.0008263433527703823
category_SPORTS,-0.03794579159963729,0.15142875344185364,-0.25058511502710024,0.8021348911019563
category_TRANSPORTATION,0.33405150709776715,0.14228495094566318,2.3477641512863663,0.01888647599999055
