predictor,coefficient,std_error,z_value,p_value
(Intercept),-8.180520787997601,0.6507449531209558,-12.571009193024144,3.048079857307371e-36
category_AUTOMOTIVE,0.4580323709158809,0.4665012007641009,0.9818460706331547,0.32617568746895786
category_BUSINESS,-8.471522460535114,2504.9433028688773,-0.0033819218386431323,0.9973016219228417
category_CULTURE,-12.081890950577167,450.81742021739,-0.026799964705780718,0.9786192813696448
category_EDUCATION,0.36109400618150833,0.6159789899237018,0.5862115625505916,0.5577333525434673
category_ENTERTAINMENT_RECREATION,-10.494377389553904,328.8130823282064,-0.031915936298054254,0.9745390897859673
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-12.697724047179408,419.7208502722919,-0.030252783579709754,0.9758654525639013
category_FOOD_DRINK,0.0720029156214918,0.727934574760268,0.0989139932599089,0.921206558379263
category_GOVERNMENT,0.5189188080752078,0.19899053448102258,2.6077562404089947,0.00911378293665779
category_HEALTH_WELLNESS,0.1333983770651244,0.13547436009496125,0.9846761923925553,0.32478315063359053
category_LODGING,-10.45356018513151,594.6122278312057,-0.017580466219572922,0.9859735399682699
category_PLACE_OF_WORSHIP,0.8485749816271517,0.5529343430913097,1.5346758475572224,0.12486347141150972
category_SERVICES,0.4073351897963737,0.12699817479283468,3.2074097951473535,0.0013393605671559018
category_SHOPPING,-0.6377324936193927,1.2406800162326526,-0.5140185102327021,0.6072390492912069
category_SPORTS,-10.60471865335253,360.1097270660158,-0.02944857596531531,0.9765068315675888
category_TRANSPORTATION,-10.440460509466128,368.8974941184131,-0.028301792980233217,0.9774214505825717
