predictor,coefficient,std_error,z_value,p_value
(Intercept),-5.535432049956579,0.16540648581585096,-33.46562876693506,1.5249966733757131e-245
category_AUTOMOTIVE,0.19032175488395547,0.1546670138843034,1.2305258251531457,0.21850026233786812
category_BUSINESS,-9.814827973519208,170.41046531635678,-0.05759521843508009,0.9540710584883592
category_CULTURE,0.24774218599882425,0.24613129229096858,1.0065448553609808,0.314153545849727
category_EDUCATION,0.3264322930899647,0.14327161620763787,2.278415653641258,0.02270182462690419
category_FINANCE,0.2425668790339936,0.3160239872511801,0.7675584411926244,0.4427495605792825
category_FOODBEV,0.13544549998357336,0.058100278581119144,2.3312366703107186,0.019740883512477256
category_GOVERNMENT,-8.734058546865004,63.746932571829944,-0.13701143246419709,0.8910217585348919
category_HEALTH,0.0704607733862978,0.05023665967115491,1.4025768004387293,0.16074307389435286
category_LODGING,0.5707516695275652,0.3865772653512573,1.4764232682151153,0.13983030009095576
category_RECREATION,0.16147869174527557,0.2305102738721744,0.7005270916246487,0.48359819231432477
category_SERVICES,0.13018125776672163,0.060934307750560794,2.1364197374593714,0.03264521668664333
category_SHOPPING,0.15231094873401393,0.05341518139777252,2.8514543009745443,0.004351974144232731
category_TRANSPORTATION,0.12507928210068311,0.2591565180517736,0.4826399237070129,0.6293514265399384
