predictor,coefficient,std_error,z_value,p_value
(Intercept),-9.25183153147479,1.0872877710083748,-8.509091868930373,1.753009034508279e-17
category_AUTOMOTIVE,0.4372729571104704,0.628674138697883,0.695547868433327,0.48671202346441245
category_BUSINESS,-8.390196726070457,4109.323731864533,-0.002041746348921396,0.9983709232429832
category_CULTURE,-12.531418276223569,754.5635868695346,-0.016607504648101016,0.9867497375413563
category_EDUCATION,0.5853990993521964,0.48309230388108004,1.2117748402307411,0.22559858176760378
category_ENTERTAINMENT_RECREATION,-11.077163728761755,525.144149861535,-0.021093567797875072,0.9831710159085242
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-12.975148203406972,674.9313608924407,-0.019224396664944327,0.9846620954733251
category_FOOD_DRINK,0.1941071942969751,0.8420454151449115,0.23051867607826151,0.8176887528077401
category_GOVERNMENT,0.5603469223794827,0.24576037836830145,2.2800539537733604,0.02260448872041967
category_HEALTH_WELLNESS,0.17160020598027687,0.1553505493295675,1.104599930420823,0.26933298125363536
category_LODGING,-10.9410354320679,966.9214118570229,-0.011315330592436746,0.990971865075769
category_PLACE_OF_WORSHIP,-11.46694207458979,1001.5574907356948,-0.011449110191534526,0.9908651313133451
category_SERVICES,0.44294792328874455,0.14539886064041205,3.0464332480857963,0.0023157389174689393
category_SHOPPING,-0.3633306756487093,1.258342382671852,-0.2887375333232004,0.7727822379663516
category_SPORTS,-10.498783436260576,556.5382391845715,-0.018864442183960585,0.9849492455168101
category_TRANSPORTATION,-10.49792078461272,587.0037403711316,-0.017883907823100814,0.9857314666592406
