model,term,coefficient,std_error,z_value,p_value
high_burglary_top50,(Intercept),-6.822996042147299,0.258339403997623,-26.410976941829894,1.0249749153844543e-153
high_burglary_top50,place_density,-0.060728173319356246,0.9751578396825571,-0.06227522442841158,0.9503436582142528
high_burglary_top50,PC_1,-2.9942825921642857,109.59456730714444,-0.02732145092349928,0.9782033478907308
high_burglary_top50,PC_2,-3.7377758934663605,192.6995029000623,-0.019396915078731904,0.9845244713571876
high_burglary_top50,PC_3,3.3449868886281977,202.9771086139047,0.01647962625672683,0.9868517557738068
high_burglary_top50,PC_4,6.262549555933593,255.5366455462146,0.024507442142191662,0.9804478475279965
high_burglary_top50,PC_5,-2.2525800075874263,156.11901319093997,-0.014428607775226124,0.9884880360594889
high_burglary_top50,PC_6,-2.1626277507993987,201.77843258192385,-0.01071783402778368,0.991448569424238
high_burglary_top50,PC_7,-0.9389057998681675,161.407209684479,-0.005817000378753547,0.9953587313824389
high_burglary_top50,PC_8,0.44843107004659233,102.33894342419106,0.004381822354642284,0.9965038227830346
high_burglary_top50,PC_9,-0.8741783610998367,102.75633303815289,-0.008507294248961364,0.9932122431408941
high_burglary_top50,PC_10,0.7529351473811038,73.50159201617612,0.010243793729194314,0.9918267780829392
high_violence_jenks,(Intercept),-6.758384945844409,0.25014512604220784,-27.01785580544969,9.118261989530038e-161
high_violence_jenks,place_density,-0.0613176908224115,0.9764909125780338,-0.06279391854300688,0.9499306086133804
high_violence_jenks,PC_1,-3.0215279712523366,109.99205872221862,-0.027470419286205996,0.9780845329300836
high_violence_jenks,PC_2,-3.7768194948599456,193.42660401704413,-0.019525853302615727,0.984421613019534
high_violence_jenks,PC_3,3.3731461401005585,203.00363459223107,0.016616185946010883,0.9867428118234399
high_violence_jenks,PC_4,6.323302402816745,256.1399570924639,0.024686903498363978,0.980304701392591
high_violence_jenks,PC_5,-2.279989345248955,155.70443831787392,-0.014643059439283986,0.9883169464637808
high_violence_jenks,PC_6,-2.18260264947884,202.09451738523953,-0.010799910248521427,0.9913830858650003
high_violence_jenks,PC_7,-0.9425961457683601,161.56093877864188,-0.0058343071839897604,0.995344922784066
high_violence_jenks,PC_8,0.4521674670444852,102.09736544833704,0.00442878682578043,0.9964663509202153
high_violence_jenks,PC_9,-0.8833408101017824,102.25524705308673,-0.00863858663060281,0.993107490826179
high_violence_jenks,PC_10,0.76149782777876,73.44383130560469,0.010368438223356249,0.9917273314470761
high_violence_top25,(Intercept),-7.046357308172723,0.28880081567754406,-24.3986752310292,1.7664601633739772e-131
high_violence_top25,place_density,-0.058175238579753465,0.946556063246508,-0.06145989745205732,0.9509929511976065
high_violence_top25,PC_1,-2.9215965315243686,106.6141448806895,-0.02740346072084421,0.9781379380305085
high_violence_top25,PC_2,-3.5078941169215496,168.9942118594685,-0.020757480852886426,0.9834391157878688
high_violence_top25,PC_3,3.2836031695930457,197.3250901419157,0.016640576052601757,0.9867233540242116
high_violence_top25,PC_4,6.088915646150105,239.21555929220025,0.02545367727820971,0.9796930966799376
high_violence_top25,PC_5,-2.168919400744876,152.53572781880976,-0.01421909104023968,0.9886551890787642
high_violence_top25,PC_6,-2.174499338270946,193.5131627363031,-0.011236958290191851,0.9910343931503152
high_violence_top25,PC_7,-0.987456645277588,155.55057095146947,-0.0063481389958103505,0.9949349519247197
high_violence_top25,PC_8,0.44844158099122655,99.03614433105561,0.0045280597707054,0.996387143364495
high_violence_top25,PC_9,-0.8712633677439474,97.96389553462828,-0.008893719088947144,0.9929039323986768
high_violence_top25,PC_10,0.7442761061649287,71.13564694619365,0.01046277271826729,0.9916520674926731
high_larceny_top25,(Intercept),-7.334256904636613,0.33344214103881686,-21.995590844598173,3.1737279560870796e-107
high_larceny_top25,place_density,-0.06470447015272378,1.5771761080970002,-0.04102552011822912,0.9672755508730001
high_larceny_top25,PC_1,-3.192299593732131,180.57514665288517,-0.01767851032051827,0.9858953242495015
high_larceny_top25,PC_2,-3.9933094411486505,297.37156856458887,-0.013428686072526489,0.9892857807269936
high_larceny_top25,PC_3,3.550460928079514,327.3211273332438,0.010847026456880095,0.9913454947717061
high_larceny_top25,PC_4,6.734669270451803,409.5578927326779,0.016443754082032996,0.98688037375034
high_larceny_top25,PC_5,-2.430638531055763,248.21485352000926,-0.009792478155864362,0.992186857738094
