metric,value
Total Points,37865.0
Mean Distance (m),4196.62
Median Distance (m),3875.06
Std Distance (m),2676.35
Min Distance (m),2.89
Max Distance (m),13257.77
Points within 50m,58.0
Points within 100m,141.0
Points within 200m,203.0
