metric,value
Total Points,64798.0
Mean Distance (m),12.59
Median Distance (m),1.77
Std Distance (m),22.11
Min Distance (m),0.0
Max Distance (m),1961.01
Points within 50m,58103.0
Points within 100m,64719.0
Points within 200m,64796.0
