place_type,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
gym,-0.8791252485294018,0.28851281000851225,-0.07642384957432732,0.02133486741166807,-0.15928099901294204,-0.019272920764468512,0.05307744045303197,0.02470227574396632,-0.037755897529068196,-0.1876063860998618
sports_activity_location,-0.9178511784229485,0.16179193537110273,-0.1020638455192334,-0.02143486837762072,-0.05283897740067511,0.027405256574843325,0.08729652685148936,-0.03389543755965979,-0.030724405456236073,-0.07194872003888042
grocery_store,-0.9451827648353881,-0.17607930010773884,-0.15754816293669213,0.004259691639867819,0.10393205024232768,0.1121089278688921,-0.012051056678410232,0.007961318115079136,0.04419125429891185,-0.005306063576301807
supermarket,-0.9435846270118038,-0.15812821039329733,-0.15131884795109257,-0.07202036247340506,-0.07759556447549823,0.04485888627211415,-0.004505358941715444,-0.02348723029039999,0.004247756619834264,0.0404138430345086
food_store,-0.9806209064934702,-0.07440739320300187,-0.12443215919630222,0.022923938566910353,0.03713959713489003,0.05435178365919245,-0.016673859659454948,0.009110123173078922,0.020152706065064634,0.009019998074360616
health,-0.9655602643274876,-0.10993732662306747,0.1492084242747642,0.00834499538913942,-0.07095414952455441,-0.003278998443596278,0.006163104982399824,0.07931835282149867,-0.037406086459575105,-0.03478545796143237
bus_stop,-0.9841384552987025,0.09355156501003843,-0.0015158031933445609,-0.010145812951274464,0.021079519978229422,-0.01282495266918186,-0.062343476092603024,0.031215508929208064,-0.01745669484017234,0.045499017307371804
transit_station,-0.9849197907637488,0.09252770589329017,-0.010166703342153725,-0.005210542411293477,0.01249854843559174,-0.011685958716022545,-0.062126371785653126,0.03951676505652108,-0.012006162988273407,0.03811476891849083
car_wash,-0.8417507705409465,0.08199580346218262,-0.03154008107548993,0.010919587734116566,0.15306377278332411,-0.06631696459194128,-0.17058702377848786,-0.022764018151422708,0.04603256424251447,0.2441656650429322
car_repair,-0.9266336873934022,0.14165560066672164,-0.11751622480769762,0.16735261333957066,0.056801723874311996,0.016069612616081634,0.004065630846398695,0.021062751007249855,0.0035354708218333537,0.12425861877775199
plumber,-0.9295105078079462,0.13102595636234565,-0.0689458254107373,0.12021040126778254,0.047781503255389525,-0.010049529878500382,-0.0494745983282025,0.045816817068911,0.04495342405906107,0.013881363078480811
general_contractor,-0.9604218763481371,0.04283279032129378,-0.049808112304226486,0.13625929791293553,0.11742956098714247,-0.13870732079326942,0.005025117189644656,0.06265136818376295,0.0179392921363134,0.0365844508385183
deli,-0.9663693941877635,-0.05516661722381737,-0.09191737009679159,-0.04746342578947946,-0.04000864974798518,0.08090998586010269,-0.003395118732466158,0.06374607476744144,-0.003401086448144803,0.04302384429630126
event_venue,-0.943575084722102,-0.15976893330761208,-0.03659282132915345,0.08972202958497072,0.01365303364421223,0.07909104210475794,0.0451622036534508,0.07469497875228104,0.0065629667714437664,0.07781641563553678
school,-0.9195139157400549,-0.013325735452833611,-0.21885993197308057,-0.16845219686921614,-0.10832382462698029,0.16775576350525132,0.06333521357690373,0.03595560783714326,0.0777141959138512,-0.02476772517384871
gas_station,-0.9079709115175658,0.14074888863815405,-0.08148645792476501,-0.09468749261904719,0.004199750736164971,-0.1837167834309047,-0.11633754242751346,0.05538139911870295,0.06445571296651309,0.07387211471831767
beauty_salon,-0.9826721928252623,-0.032705323840318185,0.0591640372335749,-0.01500164980396328,0.014045082414171383,0.050699643804217445,-0.015993982035289313,0.06025047139981709,0.02049338902114274,0.06488304925250067
hair_salon,-0.9527025219943952,0.15398879144022215,0.014842875559869677,-0.07287051275242927,-0.11595031437092082,0.04016328990412511,0.09863266124232695,0.021185638639563423,-0.009623492216353056,0.01901477010163485
